Polytope ID #	Polytope # (within H11)	H11	Basis from Toric Divisors	Toric from Basis Divisors	CY 2nd Chern Class (Basis)	CY Intersection Tensor (Basis)
6	1	2	{{J1,D5},{J2,D6}}	{{J2,D1},{J2,D2},{J1,D3},{J1,D4},{J1,D5},{J2,D6}}	3*J1^2+9*J1*J2+3*J2^2	{{{0,1},{1,1}},{{1,1},{1,0}}}
7	2	2	{{J1,D3},{J2,D6}}	{{J1,D1},{J1,D2},{J1,D3},{3*J1+J2,D4},{3*J1+J2,D5},{J2,D6}}	30*J1^2+21*J1*J2+3*J2^2	{{{0,1},{1,-3}},{{1,-3},{-3,9}}}
8	3	2	{{J1,D1},{J2,D6}}	{{J1,D1},{2*J1+J2,D2},{2*J1+J2,D3},{3*J1+J2,D4},{4*J1+2*J2,D5},{J2,D6}}	116/3*J1*J2+14*J2^2	{{{1,-3},{-3,9}},{{-3,9},{9,-24}}}
9	4	2	{{J1,D3},{J2,D6}}	{{-J1+J2,D1},{-J1+J2,D2},{J1,D3},{-2*J1+J2,D4},{-3*J1+2*J2,D5},{J2,D6}}	10*J1^2+14*J2^2	{{{1,0},{0,0}},{{0,0},{0,3}}}
9	4	2	{{J1,D3},{J2,D6}}	{{-J1+J2,D1},{-J1+J2,D2},{J1,D3},{-2*J1+J2,D4},{-3*J1+2*J2,D5},{J2,D6}}	-43/3*J1*J2+32/3*J2^2	{{{-5,-6},{-6,-6}},{{-6,-6},{-6,-3}}}
10	5	2	{{J1,D5},{J2,D6}}	{{J2,D1},{J2,D2},{J1,D3},{J1,D4},{J1,D5},{J2,D6}}	3*J1^2+9*J1*J2+3*J2^2	{{{0,3},{3,3}},{{3,3},{3,0}}}
11	6	2	{{J1,D4},{J2,D6}}	{{-J1+J2,D1},{J1,D2},{J1,D3},{J1,D4},{2*J1-J2,D5},{J2,D6}}	4*J1^2+6*J2^2	{{{3,5},{5,5}},{{5,5},{5,5}}}
12	7	2	{{J1,D2},{J2,D6}}	{{J1,D1},{J1,D2},{2*J1+J2,D3},{2*J1+J2,D4},{2*J1+J2,D5},{J2,D6}}	26*J1*J2+6*J2^2	{{{0,0},{0,4}},{{0,4},{4,-16}}}
13	8	2	{{J1,D4},{J2,D6}}	{{J1,D1},{-J1+J2,D2},{-J1+J2,D3},{J1,D4},{J2,D5},{J2,D6}}	2*J1*J2+6*J2^2	{{{0,0},{0,4}},{{0,4},{4,8}}}
13	8	2	{{J1,D4},{J2,D6}}	{{J1,D1},{-J1+J2,D2},{-J1+J2,D3},{J1,D4},{J2,D5},{J2,D6}}	-2*J1*J2+8*J2^2	{{{-4,0},{0,4}},{{0,4},{4,8}}}
